address,chain,role
0x004bb76d01438b9017a85356fa3734b3d9fcb090,polygon,passive
0x283224efb6236bb7924169a8f440f5276fa5ffd9,polygon,passive
0x2b4c68db71c0d8ed3e74989d2f4cbae018ce1e92,polygon,passive
0x668e688f2125658aa54a7cd5dbfd4e535a49dc3c,polygon,passive
0x96ada52bcdacfc6b865d20637f9b0c4933c5ed0f,polygon,passive
0x9e135a5aa50d526c8cb169c0897523dd492f1da1,polygon,passive
0xabf5864f7d9db9f7d7d0980c0ee9cba01e5890bd,polygon,passive
0xd9e1c0936939941e3e5ff8b9c925bb6f5d8bb7b5,polygon,passive
